"leukemia_A1"	"leukemia_A2"	"leukemia_A3"	"leukemia_B1"	"leukemia_B2"	"leukemia_B3"
"COL4A2"	2.31822549233818	3.63819054519763	7.10545882020199	7.29694286251057	4.81354477080368	1.71794402411991
"LINC01503"	6.34402723789509	3.68459672591847	7.20524615335458	4.17694759540023	6.43673588092831	0.169872536440465
"USP17L26"	-2.18226801746434	5.37677819574227	-0.853340985153277	5.285599612909	11.0676736011493	1.76955464036534
"TNK1"	3.7405434256087	3.25464698471466	3.79916023491359	3.75320057654607	4.83415117295898	2.57432882428294
"MAK"	2.2214098971694	4.21643105118904	1.64250815419568	7.0172068815838	1.08280485641495	1.18670207262022
"SCAF4"	6.59932006276088	14.0430459807818	1.56232234242969	4.0160075511335	8.86317736554965	5.98628469163908
"XPNPEP2"	3.30532585934202	2.48902915696384	3.50682343985646	0.532387018792932	3.28487954861258	-0.365935489454324
"UBE2R2"	7.85472981583643	8.09593396517024	4.29541235288794	5.02283321766515	7.38099711571222	3.36182493568552
"TRAPPC8"	2.46879511813799	2.6645151320967	4.46871354968312	4.16869305767067	3.41561564357867	3.28492354850497
"SCDP1"	3.35925094411074	4.71404318419416	1.56677085259555	5.61601387204214	2.90226620798956	-3.57411746228417
"CARD17"	2.23520446577581	3.16703030752066	6.5541637205012	-2.51951466006219	3.1083365111491	-2.61544843731706
"HCG22"	7.77760404662338	3.83546659910036	2.53396985602398	4.02321979011515	0.295504136059295	6.71170733243822
"RNU6-24P"	3.19024195566318	-0.583039020159261	3.29086652173376	-0.372678558449167	4.61726514333181	2.23622918969004
"LYPLA1"	4.9826828036844	3.55335834306915	-0.63802163032764	0.172454133607059	8.06835120745725	1.76612490050035
"CST2P1"	2.61715374830401	1.82870928769448	5.19665132305833	0.678248336342268	4.85295352603937	4.31012047280509
"AGPS"	10.5282695882045	5.71971127647739	4.51454012866082	9.0057777292157	0.212636431430658	11.4752160983294
"GLIS2-AS1"	7.36147243422853	2.71925903885452	2.28795479598229	1.04019586634241	3.11692527356463	0.752964727168519
"ZNF75BP"	4.54221307017326	-0.418637944700839	0.387324558002018	-0.0471415987020132	7.96921486885736	4.75065281264456
"MYO3A"	3.93940210840137	6.43343902187169	1.37543780438302	2.19710219031674	4.72376647405407	1.53642882209773
"RN7SKP23"	3.90386531984223	4.22194049152388	1.0945632672676	5.39773037251591	1.69688073799797	1.96272238757758
"ZDHHC19"	8.00791954600011	-0.572577991981555	5.90520359630978	3.41561204362583	2.38217931037082	-1.84070671280561
"MINOS1P3"	6.4594868395158	7.56214480063869	1.95983452751365	-1.05289850260665	4.47307836069853	8.7659937912783
