Gene_Symbol	ALL_1	ALL_2	ALL_3	MLL_1	MLL_2	MLL_3
COL4A2	2.318225492	3.638190545	7.10545882	7.296942863	4.813544771	1.717944024
LINC01503	6.344027238	3.684596726	7.205246153	4.176947595	6.436735881	0.169872536
USP17L26	-2.182268017	5.376778196	-0.853340985	5.285599613	11.0676736	1.76955464
TNK1	3.740543426	3.254646985	3.799160235	3.753200577	4.834151173	2.574328824
MAK	2.221409897	4.216431051	1.642508154	7.017206882	1.082804856	1.186702073
SCAF4	6.599320063	14.04304598	1.562322342	4.016007551	8.863177366	5.986284692
XPNPEP2	3.305325859	2.489029157	3.50682344	0.532387019	3.284879549	-0.365935489
UBE2R2	7.854729816	8.095933965	4.295412353	5.022833218	7.380997116	3.361824936
TRAPPC8	2.468795118	2.664515132	4.46871355	4.168693058	3.415615644	3.284923549
SCDP1	3.359250944	4.714043184	1.566770853	5.616013872	2.902266208	-3.574117462
CARD17	2.235204466	3.167030308	6.554163721	-2.51951466	3.108336511	-2.615448437
HCG22	7.777604047	3.835466599	2.533969856	4.02321979	0.295504136	6.711707332
RNU6-24P	3.190241956	-0.58303902	3.290866522	-0.372678558	4.617265143	2.23622919
LYPLA1	4.982682804	3.553358343	-0.63802163	0.172454134	8.068351207	1.766124901
CST2P1	2.617153748	1.828709288	5.196651323	0.678248336	4.852953526	4.310120473
AGPS	10.52826959	5.719711276	4.514540129	9.005777729	0.212636431	11.4752161
GLIS2-AS1	7.361472434	2.719259039	2.287954796	1.040195866	3.116925274	0.752964727
ZNF75BP	4.54221307	-0.418637945	0.387324558	-0.047141599	7.969214869	4.750652813
MYO3A	3.939402108	6.433439022	1.375437804	2.19710219	4.723766474	1.536428822
RN7SKP23	3.90386532	4.221940492	1.094563267	5.397730373	1.696880738	1.962722388
ZDHHC19	8.007919546	-0.572577992	5.905203596	3.415612044	2.38217931	-1.840706713
MINOS1P3	6.45948684	7.562144801	1.959834528	-1.052898503	4.473078361	8.765993791
TRPM5	3.080758814	2.710269005	1.285826708	1.367212909	2.715133451	4.220905505
SAA3P	-0.555232646	5.779553122	-0.204026326	7.316309427	1.01932666	-0.163257875
TM9SF1	5.247807953	6.929405649	5.350814424	1.417788901	3.688588896	8.119881424
CAPN3	3.105974153	2.78135579	4.201507757	2.035650394	-0.958566321	4.088674104
LAMB2	6.188294987	-3.831025028	1.858358818	6.555404543	3.872481491	3.038596673
CRYBA4	5.738822967	6.086865021	-3.622075352	7.955893146	0.551215868	0.663853382
MROH2B	-1.463666432	3.766396299	4.457788094	4.246277122	3.544867466	8.88517973
GPRC5D	4.301899111	1.915377782	5.369774753	2.784424208	3.317696891	5.572680312
TRBJ2-4	2.445529079	2.533619655	6.224688265	1.555771197	3.093590081	8.921027639
SNORA33	8.989902329	-2.142461855	0.648595983	0.845147307	-0.032184591	6.768952974
NECAP1	5.763347018	7.163611811	2.996062338	2.833887659	1.164080695	2.972636778
ATP5F1	3.502345902	6.155137416	4.347019524	4.26995657	-0.270490692	4.770235012
TECTA	2.326862507	5.894135295	1.12028052	5.560193726	-1.932452335	0.970932359
CHST6	5.090357043	-0.772135716	-2.103476544	2.370024519	0.465172641	0.957726489
SUMO2P18	1.842640363	2.850500811	4.800348113	8.274794559	3.58824035	-0.239891336
C1orf131	1.317666859	3.432484234	0.511936627	7.538362418	0.239531497	1.193442835
NTF6A	2.523199731	0.238845672	6.05429329	5.169835981	-0.428776542	1.960541106
RNU7-105P	3.454541531	4.403934795	4.488197819	5.399445342	2.844568217	6.16720118
RNU6-1216P	-2.603903548	3.657247224	7.440410834	-3.19245094	-0.62978533	1.337744098
MIR6858	4.688189078	5.145120027	2.074600981	4.869854197	1.762064937	0.113503788
HDGF	3.865831637	0.898044701	1.814209065	4.147122145	5.711026649	0.850282427
RN7SL607P	4.10721334	3.91679369	-1.733791234	5.93254153	5.528999015	3.284278258
CARD10	1.662115811	4.100901319	3.499088	-0.076352968	2.139474436	-2.309360743
NUP210P1	4.806057021	0.448100967	6.761379348	1.276180731	5.784885812	4.045319012
WNT11	1.985024767	6.035424069	1.837573023	2.977316389	2.884636134	3.701433566
NANOGP9	5.128295738	7.865208571	-2.130162199	4.366669988	-1.290980167	3.627725091
RNU6-299P	-0.731102728	4.003250546	6.270498629	4.908740744	-0.375890065	4.326570818
ZNF606	4.334871615	2.525255613	-2.764734249	6.634355599	2.558992506	6.815254014
